2016-04-01 12:29:49 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:29:49 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:29:49 startup packages configure
2016-04-01 12:29:49 configure libisc95:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:49 status unpacked libisc95:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:49 status half-configured libisc95:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:49 status installed libisc95:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:49 status triggers-pending libc-bin:amd64 2.19-0ubuntu6.7
2016-04-01 12:29:49 configure libdns100:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:49 status unpacked libdns100:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:49 status half-configured libdns100:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:49 status installed libdns100:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:49 configure libisccc90:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:49 status unpacked libisccc90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:49 status half-configured libisccc90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status installed libisccc90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 configure libisccfg90:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:50 status unpacked libisccfg90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status half-configured libisccfg90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status installed libisccfg90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 configure libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:50 status unpacked libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status half-configured libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status installed libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 configure liblwres90:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
